model,validation_mean,ledger_mean,difference
g-e1,0.711667937073355,0.711667937073355,0.0
g-e2,0.6988325090750038,0.6988325090750038,0.0
g-e3,0.7078584138685806,0.7078584138685806,0.0
g-e4,0.7120224570382546,0.7120224570382546,0.0
g-e5,0.7069151481490494,0.7069151481490494,0.0
g-e6,0.7333458287698088,0.7333458287698088,0.0
g-e7,0.7017934109501633,0.7017934109501633,0.0
g-e8,0.7410555320164617,0.7410555320164617,0.0
g-e9,0.7451044984947113,0.7451044984947113,0.0
g-e10,0.7268209930673238,0.7268209930673238,0.0
g-hog,0.6605685563794663,0.6605685563794663,0.0
g-swin,0.684818145388348,0.684818145388348,0.0
u-e2,0.4043158107960319,0.4043158107960319,0.0
u-e3,0.41401786882617325,0.4140178688261732,5.551115123125783e-17
u-e4,0.38577869732378683,0.3857786973237868,5.551115123125783e-17
u-e5,0.40328054298141386,0.4032805429814138,5.551115123125783e-17
u-e6,0.4056476188976741,0.4056476188976741,0.0
u-e7,0.3474059182108515,0.3474059182108515,0.0
u-e8,0.4155488975993727,0.4155488975993727,0.0
u-e9,0.39465729882575357,0.3946572988257535,5.551115123125783e-17
u-type,0.3194148766073789,0.3194148766073789,0.0
u-swin,0.39616704892546273,0.3961670489254627,5.551115123125783e-17
t3_gender_v2_g1_foreground_mask,0.7296632286534621,0.7296632286534621,0.0
t3_gender_v2_g2_translation,0.7454798140413059,0.7454798140413059,0.0
t3_gender_v2_g3_component_weight,0.7243860375769573,0.7243860375769573,0.0
t3_usage_v2_u1_component_weight,0.40985650456902234,0.4098565045690223,5.551115123125783e-17
G2-five-fold,0.7502437447487192,0.7502437447487192,0.0
