articleType,gender,n,fold
Accessory Gift Set,Men,74,0
Baby Dolls,Women,2,0
Backpacks,Girls,1,0
Backpacks,Men,36,0
Backpacks,Unisex,421,0
Backpacks,Women,27,0
Bangle,Men,14,0
Bangle,Women,18,0
Basketballs,Unisex,9,0
Belts,Men,359,0
Belts,Unisex,7,0
Belts,Women,176,0
Blazers,Boys,1,0
Blazers,Men,4,0
Blazers,Women,1,0
Body Wash and Scrub,Men,1,0
Booties,Boys,3,0
Booties,Girls,4,0
Boxers,Men,27,0
Bra,Women,202,0
Bracelet,Women,28,0
Briefs,Men,349,0
Briefs,Women,107,0
Camisoles,Women,10,0
Capris,Boys,9,0
Capris,Girls,21,0
Capris,Women,80,0
Caps,Men,74,0
Caps,Unisex,95,0
Caps,Women,16,0
Casual Shoes,Boys,17,0
Casual Shoes,Girls,8,0
Casual Shoes,Men,1432,0
Casual Shoes,Unisex,147,0
Casual Shoes,Women,215,0
Churidar,Boys,1,0
Churidar,Men,6,0
Churidar,Women,14,0
Clothing Set,Boys,4,0
Clothing Set,Girls,2,0
Clutches,Women,152,0
Compact,Women,4,0
Concealer,Women,2,0
Cufflinks,Men,25,0
Cushion Covers,Unisex,1,0
Deodorant,Men,124,0
Deodorant,Unisex,2,0
Deodorant,Women,73,0
Dresses,Girls,42,0
Dresses,Women,190,0
Duffel Bag,Men,1,0
Duffel Bag,Unisex,54,0
Duffel Bag,Women,4,0
Dupatta,Women,80,0
Earrings,Girls,1,0
Earrings,Women,125,0
Eyeshadow,Women,2,0
Flats,Women,287,0
Flip Flops,Boys,11,0
Flip Flops,Girls,6,0
Flip Flops,Men,323,0
Flip Flops,Unisex,101,0
Flip Flops,Women,146,0
Footballs,Unisex,5,0
Formal Shoes,Men,414,0
Foundation and Primer,Women,7,0
Fragrance Gift Set,Men,20,0
Fragrance Gift Set,Unisex,1,0
Fragrance Gift Set,Women,17,0
Free Gifts,Men,26,0
Free Gifts,Unisex,1,0
Free Gifts,Women,19,0
Gloves,Boys,4,0
Gloves,Girls,4,0
Gloves,Men,6,0
Handbags,Men,1,0
Handbags,Unisex,42,0
Handbags,Women,935,0
Hat,Unisex,2,0
Headband,Unisex,4,0
Heels,Men,1,0
Heels,Women,710,0
Highlighter and Blush,Women,4,0
Innerwear Vests,Boys,3,0
Innerwear Vests,Girls,3,0
Innerwear Vests,Men,158,0
Innerwear Vests,Women,1,0
Ipad,Women,1,0
Jackets,Boys,2,0
Jackets,Men,120,0
Jackets,Unisex,1,0
Jackets,Women,32,0
Jeans,Boys,21,0
Jeans,Girls,12,0
Jeans,Men,207,0
Jeans,Women,138,0
Jeggings,Women,18,0
Jewellery Set,Women,32,0
Jumpsuit,Women,8,0
Kajal and Eyeliner,Women,8,0
Key chain,Unisex,1,0
Kurta Sets,Boys,2,0
Kurta Sets,Women,49,0
Kurtas,Boys,5,0
Kurtas,Men,45,0
Kurtas,Women,1009,0
Kurtis,Men,2,0
Kurtis,Women,137,0
Laptop Bag,Men,12,0
Laptop Bag,Unisex,35,0
Laptop Bag,Women,8,0
Leggings,Boys,3,0
Leggings,Girls,15,0
Leggings,Women,91,0
Lehenga Choli,Girls,2,0
Lip Gloss,Women,4,0
Lip Liner,Women,9,0
Lip Plumper,Women,2,0
Lipstick,Women,10,0
Lounge Pants,Men,22,0
Lounge Pants,Women,14,0
Lounge Shorts,Men,16,0
Lounge Shorts,Women,7,0
Lounge Tshirts,Women,1,0
Messenger Bag,Men,9,0
Messenger Bag,Unisex,21,0
Mobile Pouch,Unisex,4,0
Mobile Pouch,Women,28,0
Mufflers,Men,22,0
Mufflers,Unisex,1,0
Mufflers,Women,3,0
Nail Polish,Women,12,0
Necklace and Chains,Women,43,0
Nehru Jackets,Men,4,0
Night suits,Men,10,0
Night suits,Women,38,0
Nightdress,Women,27,0
Patiala,Women,19,0
Pendant,Women,100,0
Perfume and Body Mist,Men,212,0
Perfume and Body Mist,Unisex,5,0
Perfume and Body Mist,Women,162,0
Rain Jacket,Unisex,1,0
Rain Trousers,Men,1,0
Ring,Men,25,0
Ring,Women,54,0
Robe,Women,2,0
Rompers,Boys,4,0
Rompers,Girls,4,0
Rucksacks,Unisex,8,0
Salwar,Girls,4,0
Salwar,Women,19,0
Salwar and Dupatta,Women,5,0
Sandals,Boys,8,0
Sandals,Girls,31,0
Sandals,Men,486,0
Sandals,Unisex,63,0
Sandals,Women,1,0
Sarees,Women,104,0
Scarves,Men,27,0
Scarves,Unisex,4,0
Scarves,Women,44,0
Shapewear,Women,2,0
Shirts,Boys,52,0
Shirts,Girls,1,0
Shirts,Men,1852,0
Shirts,Women,186,0
Shoe Accessories,Men,2,0
Shoe Accessories,Unisex,14,0
Shoe Laces,Unisex,1,0
Shorts,Boys,39,0
Shorts,Girls,25,0
Shorts,Men,251,0
Shorts,Women,44,0
Shrug,Women,2,0
Skirts,Girls,16,0
Skirts,Women,64,0
Socks,Boys,1,0
Socks,Men,316,0
Socks,Unisex,47,0
Socks,Women,54,0
Sports Sandals,Men,18,0
Sports Sandals,Women,26,0
Sports Shoes,Boys,2,0
Sports Shoes,Men,1057,0
Sports Shoes,Unisex,30,0
Sports Shoes,Women,263,0
Stockings,Women,14,0
Stoles,Women,62,0
Sunglasses,Men,412,0
Sunglasses,Unisex,95,0
Sunglasses,Women,204,0
Suspenders,Men,28,0
Sweaters,Men,134,0
Sweaters,Women,54,0
Sweatshirts,Boys,1,0
Sweatshirts,Men,149,0
Sweatshirts,Unisex,1,0
Sweatshirts,Women,40,0
Swimwear,Unisex,4,0
Swimwear,Women,8,0
Tablet Sleeve,Unisex,1,0
Tablet Sleeve,Women,1,0
Ties,Men,145,0
Tights,Men,1,0
Tights,Women,5,0
Tops,Girls,154,0
Tops,Men,1,0
Tops,Women,940,0
Track Pants,Men,141,0
Track Pants,Unisex,1,0
Track Pants,Women,58,0
Tracksuits,Men,19,0
Travel Accessory,Unisex,6,0
Travel Accessory,Women,3,0
Trolley Bag,Unisex,3,0
Trousers,Boys,2,0
Trousers,Men,282,0
Trousers,Women,66,0
Trunk,Men,96,0
Tshirts,Boys,346,0
Tshirts,Girls,72,0
Tshirts,Men,3449,0
Tshirts,Unisex,48,0
Tshirts,Women,682,0
Tunics,Men,1,0
Tunics,Women,119,0
Umbrellas,Women,4,0
Waist Pouch,Men,1,0
Waist Pouch,Unisex,11,0
Waistcoat,Boys,2,0
Waistcoat,Men,5,0
Waistcoat,Women,2,0
Wallets,Men,277,0
Wallets,Unisex,15,0
Wallets,Women,273,0
Watches,Boys,5,0
Watches,Girls,8,0
Watches,Men,869,0
Watches,Unisex,88,0
Watches,Women,553,0
Water Bottle,Men,2,0
Water Bottle,Unisex,6,0
Wristbands,Unisex,4,0
Accessory Gift Set,Men,73,4
Baby Dolls,Women,2,4
Backpacks,Girls,1,4
Backpacks,Men,36,4
Backpacks,Unisex,417,4
Backpacks,Women,24,4
Bangle,Men,1,4
Bangle,Women,36,4
Basketballs,Unisex,10,4
Belts,Men,349,4
Belts,Unisex,6,4
Belts,Women,185,4
Blazers,Men,4,4
Blazers,Women,1,4
Body Wash and Scrub,Men,1,4
Booties,Boys,3,4
Booties,Girls,4,4
Boxers,Men,27,4
Bra,Women,201,4
Bracelet,Men,16,4
Bracelet,Women,21,4
Briefs,Men,350,4
Briefs,Women,105,4
Camisoles,Women,10,4
Capris,Boys,11,4
Capris,Girls,21,4
Capris,Women,77,4
Caps,Men,73,4
Caps,Unisex,96,4
Caps,Women,15,4
Casual Shoes,Boys,18,4
Casual Shoes,Girls,10,4
Casual Shoes,Men,1432,4
Casual Shoes,Unisex,150,4
Casual Shoes,Women,214,4
Churidar,Boys,1,4
Churidar,Men,6,4
Churidar,Women,13,4
Clothing Set,Boys,3,4
Clothing Set,Girls,2,4
Clutches,Women,151,4
Compact,Women,4,4
Cufflinks,Men,31,4
Deodorant,Men,127,4
Deodorant,Unisex,3,4
Deodorant,Women,69,4
Dresses,Girls,45,4
Dresses,Women,186,4
Duffel Bag,Men,3,4
Duffel Bag,Unisex,53,4
Duffel Bag,Women,3,4
Dupatta,Women,80,4
Earrings,Girls,1,4
Earrings,Women,160,4
Eyeshadow,Women,3,4
Flats,Women,284,4
Flip Flops,Boys,12,4
Flip Flops,Girls,4,4
Flip Flops,Men,318,4
Flip Flops,Unisex,101,4
Flip Flops,Women,150,4
Footballs,Unisex,6,4
Formal Shoes,Men,415,4
